"Date(UTC)","type","Amount","Asset","Symbol","Transaction ID"
"2023-12-03 01:58:00","TRANSFER","374.24012136","USDT",,"147886182968"
"2023-12-06 09:15:42","COMMISSION","-0.21865050","USDT","BTCUSDT","900314353329088"
"2023-12-06 10:06:36","REALIZED_PNL","6.94750000","USDT","BTCUSDT","900304353437523"
"2023-12-06 10:06:36","COMMISSION","-0.55010000","USDT","BTCUSDT","900304353437523"
"2023-12-07 09:42:30","COMMISSION","-0.22516000","USDT","BTCUSDT","900304356593361"
"2023-12-07 12:20:12","COMMISSION","-0.55880110","USDT","BTCUSDT","900314357106912"
"2023-12-07 12:20:12","REALIZED_PNL","8.19780000","USDT","BTCUSDT","900314357106912"
"2023-12-08 11:12:01","COMMISSION","-0.22613552","USDT","BTCUSDT","900304359549728"
"2023-12-08 14:39:21","COMMISSION","-0.57075590","USDT","BTCUSDT","900314360103437"
"2023-12-08 14:39:21","REALIZED_PNL","-10.83420000","USDT","BTCUSDT","900314360103437"
"2023-12-09 07:10:40","COMMISSION","-0.06643560","USDT","BTCUSDT","900314361861691"
"2023-12-09 08:00:00","FUNDING_FEE","-0.04000947","USDT","BTCUSDT","7857776897360657320"
"2023-12-09 08:45:05","REALIZED_PNL","-1.43220000","USDT","BTCUSDT","900304362061621"
"2023-12-09 08:45:05","COMMISSION","-0.06571950","USDT","BTCUSDT","900304362061621"
"2023-12-09 08:47:57","COMMISSION","-0.54852250","USDT","BTCUSDT","900314362078566"
"2023-12-09 09:40:29","REALIZED_PNL","0.02999999","USDT","BTCUSDT","900304362200028"
"2023-12-09 09:40:29","COMMISSION","-0.54853750","USDT","BTCUSDT","900304362200028"
"2023-12-10 09:11:19","COMMISSION","-0.36825768","USDT","BTCUSDT","900314363946236"
"2023-12-10 15:18:52","COMMISSION","-0.92401890","USDT","BTCUSDT","900304364442243"
"2023-12-10 15:18:52","REALIZED_PNL","6.74940000","USDT","BTCUSDT","900304364442243"
"2023-12-14 09:05:37","COMMISSION","-0.37632232","USDT","BTCUSDT","900314378681596"
"2023-12-14 09:57:20","COMMISSION","-0.10723725","USDT","BTCUSDT","900304378748462"
